run_id,method,model_name,dataset,task_type,rank,alpha,dropout,seed,epoch,step,eval_loss,accuracy,macro_f1,weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,source,is_final_only
official_dora_r8_seed97_1781761565,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,97,5.0,6500,,0.7988461538461539,0.7978431481871919,0.7978431481871917,,,,official_final_only,True
official_dora_r16_seed97_1781761924,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,16.0,32.0,0.0,97,5.0,6500,,0.8015384615384615,0.800931464978394,0.8009314649783941,,,,official_final_only,True
official_ft_seed97_1781760636,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,1.0,1300,0.7314496040344238,0.7934615384615384,0.7916964997647242,0.7916964997647241,1.703,1526.724,48.151,outputs\official_ft_seed97_1781760636\checkpoint-6500\trainer_state.json,False
official_ft_seed97_1781760636,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,2.0,2600,0.6997123956680298,0.8038461538461539,0.8027721838331178,0.8027721838331178,1.6987,1530.547,48.271,outputs\official_ft_seed97_1781760636\checkpoint-6500\trainer_state.json,False
official_ft_seed97_1781760636,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,3.0,3900,0.7020010948181152,0.8073076923076923,0.8065812430024744,0.806581243002474,1.7632,1474.607,46.507,outputs\official_ft_seed97_1781760636\checkpoint-6500\trainer_state.json,False
official_ft_seed97_1781760636,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,4.0,5200,0.7321280837059021,0.8092307692307692,0.8090034589573363,0.8090034589573364,1.731,1502.053,47.372,outputs\official_ft_seed97_1781760636\checkpoint-6500\trainer_state.json,False
official_ft_seed97_1781760636,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,5.0,6500,0.7503795027732849,0.813076923076923,0.8129272547311662,0.8129272547311662,1.7204,1511.304,47.664,outputs\official_ft_seed97_1781760636\checkpoint-6500\trainer_state.json,False
official_lora_r8_seed97_1781761112,lora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.05,97,5.0,6500,,0.7996153846153846,0.7991414998603218,0.7991414998603217,,,,official_final_only,True
official_lora_r16_seed97_1781761339,lora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,16.0,32.0,0.05,97,5.0,6500,,0.8003846153846154,0.8000141511024895,0.8000141511024893,,,,official_final_only,True
official_dora_r8_seed98_1781763357,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,98,5.0,6500,,0.7976923076923077,0.7971766521669783,0.797176652166978,,,,official_final_only,True
official_dora_r16_seed98_1781763733,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,16.0,32.0,0.0,98,5.0,6500,,0.8,0.7994991916472272,0.7994991916472273,,,,official_final_only,True
official_ft_seed98_1781762294,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,1.0,1300,0.7707986235618591,0.7823076923076923,0.7820574195106119,0.7820574195106119,1.7701,1468.804,46.324,outputs\official_ft_seed98_1781762294\checkpoint-6500\trainer_state.json,False
official_ft_seed98_1781762294,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,2.0,2600,0.69663405418396,0.801923076923077,0.8014980351797102,0.8014980351797102,1.7837,1457.614,45.971,outputs\official_ft_seed98_1781762294\checkpoint-6500\trainer_state.json,False
official_ft_seed98_1781762294,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,3.0,3900,0.7228733897209167,0.7938461538461539,0.7947454224898812,0.7947454224898813,1.7694,1469.392,46.342,outputs\official_ft_seed98_1781762294\checkpoint-6500\trainer_state.json,False
official_ft_seed98_1781762294,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,4.0,5200,0.7374799251556396,0.81,0.809102471580093,0.8091024715800929,1.7754,1464.481,46.187,outputs\official_ft_seed98_1781762294\checkpoint-6500\trainer_state.json,False
official_ft_seed98_1781762294,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,5.0,6500,0.7640839219093323,0.8073076923076923,0.8072928436215416,0.8072928436215415,1.8009,1443.695,45.532,outputs\official_ft_seed98_1781762294\checkpoint-6500\trainer_state.json,False
official_lora_r8_seed98_1781762789,lora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.05,98,5.0,6500,,0.7946153846153846,0.7935328838128,0.7935328838128,,,,official_final_only,True
official_lora_r16_seed98_1781763077,lora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,16.0,32.0,0.05,98,5.0,6500,,0.8046153846153846,0.8037156964428329,0.8037156964428329,,,,official_final_only,True
official_dora_r8_seed99_1781765219,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,99,5.0,6500,,0.7953846153846154,0.7950809492409296,0.7950809492409294,,,,official_final_only,True
official_dora_r16_seed99_1781765512,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,16.0,32.0,0.0,99,5.0,6500,,0.8011538461538461,0.8006933102760135,0.8006933102760136,,,,official_final_only,True
official_ft_seed99_1781764151,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,1.0,1300,0.7628662586212158,0.7819230769230769,0.7812509246152228,0.7812509246152229,1.8707,1389.832,43.833,outputs\official_ft_seed99_1781764151\checkpoint-6500\trainer_state.json,False
official_ft_seed99_1781764151,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,2.0,2600,0.705735981464386,0.7957692307692308,0.7963808267753916,0.7963808267753915,1.9036,1365.857,43.077,outputs\official_ft_seed99_1781764151\checkpoint-6500\trainer_state.json,False
official_ft_seed99_1781764151,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,3.0,3900,0.7026737332344055,0.8096153846153846,0.8084979248100563,0.8084979248100564,1.9001,1368.327,43.155,outputs\official_ft_seed99_1781764151\checkpoint-6500\trainer_state.json,False
