method,rank,rank_label,method_rank,seed,custom_run_id,official_run_id,accuracy_custom,accuracy_official,accuracy_delta,accuracy_pct_delta,macro_f1_custom,macro_f1_official,macro_f1_delta,macro_f1_pct_delta,weighted_f1_custom,weighted_f1_official,weighted_f1_delta,weighted_f1_pct_delta,trainable_params_custom,trainable_params_official,trainable_params_delta,trainable_params_pct_delta,total_params_custom,total_params_official,total_params_delta,total_params_pct_delta,trainable_percent_custom,trainable_percent_official,trainable_percent_delta,trainable_percent_pct_delta,train_time_sec_custom,train_time_sec_official,train_time_sec_delta,train_time_sec_pct_delta,peak_vram_mb_custom,peak_vram_mb_official,peak_vram_mb_delta,peak_vram_mb_pct_delta,checkpoint_size_mb_custom,checkpoint_size_mb_official,checkpoint_size_mb_delta,checkpoint_size_mb_pct_delta
dora,16.0,16,dora / 16,97,dora_r16_seed97_1781724745,official_dora_r16_seed97_1781761924,0.801923076923077,0.8015384615384615,-0.00038461538461542766,-0.047961630695449016,0.8016581789816934,0.800931464978394,-0.000726714003299489,-0.09065135519762271,0.8016581789816933,0.8009314649783941,-0.0007267140032992669,-0.09065135519759504,1208845,1208845,0,0.0,121460749,136217114,14756365,12.149081181773381,0.9952556772064692,0.887439885123392,-0.10781579208307723,-10.832974335368748,290.500626699999,362.6965127000003,72.19588600000134,24.852230723260465,873.98291015625,824.5654296875,-49.41748046875,-5.654284528277009,4.636088371276856,4.627817153930664,-0.008271217346192294,-0.17840939783281703
dora,16.0,16,dora / 16,98,dora_r16_seed98_1781726380,official_dora_r16_seed98_1781763733,0.8042307692307692,0.8,-0.004230769230769149,-0.5260640841702433,0.803789631312092,0.7994991916472272,-0.004290439664864865,-0.5337764382281501,0.803789631312092,0.7994991916472273,-0.004290439664864754,-0.5337764382281363,1208845,1208845,0,0.0,121460749,136217114,14756365,12.149081181773381,0.9952556772064692,0.887439885123392,-0.10781579208307723,-10.832974335368748,256.17873040004633,410.9215633999993,154.74283299995295,60.404246971756,874.60791015625,842.4404296875,-32.16748046875,-3.67793157313238,4.636088371276856,4.627817153930664,-0.008271217346192294,-0.17840939783281703
dora,16.0,16,dora / 16,99,dora_r16_seed99_1781728011,official_dora_r16_seed99_1781765512,0.8046153846153846,0.8011538461538461,-0.003461538461538516,-0.43021032504780793,0.8040793195872792,0.8006933102760135,-0.0033860093112656475,-0.4211038922134735,0.8040793195872792,0.8006933102760136,-0.0033860093112655365,-0.42110389221345973,1208845,1208845,0,0.0,121460749,136217114,14756365,12.149081181773381,0.9952556772064692,0.887439885123392,-0.10781579208307723,-10.832974335368748,255.0443524000002,288.32502119999845,33.28066879999824,13.048973045990966,873.98291015625,824.5654296875,-49.41748046875,-5.654284528277009,4.636088371276856,4.627817153930664,-0.008271217346192294,-0.17840939783281703
dora,8.0,8,dora / 8,97,dora_r8_seed97_1781724430,official_dora_r8_seed97_1781761565,0.8034615384615384,0.7988461538461539,-0.004615384615384577,-0.5744375299186166,0.8025820793324973,0.7978431481871919,-0.004738931145305325,-0.5904606229492024,0.8025820793324974,0.7978431481871917,-0.004738931145305658,-0.5904606229492437,913933,913933,0,0.0,121165837,135922202,14756365,12.178651479129385,0.754282743905776,0.6723941979692177,-0.08188854593655825,-10.856478767170055,302.21486539999023,350.7955331000012,48.58066770001096,16.074876937543433,870.60791015625,820.8623046875,-49.74560546875,-5.7138931186396,3.5110883712768555,3.50277042388916,-0.008317947387695312,-0.2369050991636071
dora,8.0,8,dora / 8,98,dora_r8_seed98_1781726109,official_dora_r8_seed98_1781763357,0.803076923076923,0.7976923076923077,-0.005384615384615321,-0.6704980842911799,0.8025666309757409,0.7971766521669783,-0.005389978808762574,-0.6715926878506735,0.802566630975741,0.797176652166978,-0.0053899788087630185,-0.6715926878507288,913933,913933,0,0.0,121165837,135922202,14756365,12.178651479129385,0.754282743905776,0.6723941979692177,-0.08188854593655825,-10.856478767170055,258.14481699990574,368.1308525000022,109.98603550009648,42.60633111999945,871.23291015625,838.7373046875,-32.49560546875,-3.7298413650285687,3.5110883712768555,3.50277042388916,-0.008317947387695312,-0.2369050991636071
dora,8.0,8,dora / 8,99,dora_r8_seed99_1781727728,official_dora_r8_seed99_1781765219,0.8026923076923077,0.7953846153846154,-0.007307692307692348,-0.9103977000479208,0.8021500955680422,0.7950809492409296,-0.00706914632711253,-0.8812747596952559,0.8021500955680423,0.7950809492409294,-0.007069146327112863,-0.8812747596952974,913933,913933,0,0.0,121165837,135922202,14756365,12.178651479129385,0.754282743905776,0.6723941979692177,-0.08188854593655825,-10.856478767170055,270.41917869995814,286.0833406999991,15.66416200004096,5.7925484706175485,870.60791015625,820.8623046875,-49.74560546875,-5.7138931186396,3.5110883712768555,3.50277042388916,-0.008317947387695312,-0.2369050991636071
ft,,full,ft / full,97,ft_seed97_1781723194,official_ft_seed97_1781760636,0.813076923076923,0.813076923076923,0.0,0.0,0.8129272547311662,0.8129272547311662,0.0,0.0,0.8129272547311662,0.8129272547311662,0.0,0.0,135008269,135008269,0,0.0,135008269,135008269,0,0.0,100.0,100.0,0.0,0.0,515.0911514000036,467.37966179999785,-47.711489600005734,-9.262727474608566,2088.181640625,2088.181640625,0.0,0.0,8253.025408744812,8253.026494026184,0.0010852813720703125,1.3150103365977291e-05
ft,,full,ft / full,98,ft_seed98_1781725049,official_ft_seed98_1781762294,0.81,0.81,0.0,0.0,0.809102471580093,0.809102471580093,0.0,0.0,0.8091024715800929,0.8091024715800929,0.0,0.0,135008269,135008269,0,0.0,135008269,135008269,0,0.0,100.0,100.0,0.0,0.0,526.6947369000409,482.3207957999985,-44.37394110004237,-8.424982820449925,2089.0234375,2090.978515625,1.955078125,0.09358813739972699,8253.025690078735,8253.026783943176,0.0010938644409179688,1.3254101974175886e-05
ft,,full,ft / full,99,ft_seed99_1781726652,official_ft_seed99_1781764151,0.8096153846153846,0.8096153846153846,0.0,0.0,0.8084979248100563,0.8084979248100563,0.0,0.0,0.8084979248100564,0.8084979248100564,0.0,0.0,135008269,135008269,0,0.0,135008269,135008269,0,0.0,100.0,100.0,0.0,0.0,497.2435103999451,506.3300169000031,9.086506500058022,1.8273755835947507,2090.0234375,2089.7109375,-0.3125,-0.014951985436766185,8253.025135040283,8253.026230812073,0.0010957717895507812,1.3277213768541768e-05
lora,16.0,16,lora / 16,97,lora_r16_seed97_1781724042,official_lora_r16_seed97_1781761339,0.7996153846153846,0.8003846153846154,0.0007692307692307443,0.09620009620009308,0.7989805855715452,0.8000141511024895,0.001033565530944358,0.1293605313582187,0.798980585571545,0.8000141511024893,0.001033565530944247,0.12936053135820483,1190413,1190413,0,0.0,135598093,136198682,600589,0.4429184708371968,0.877898039465791,0.8740268132697495,-0.0038712261960415217,-0.4409653538350761,373.6185775999911,219.52759049999804,-154.09098709999307,-41.24286005525351,778.50244140625,779.568359375,1.06591796875,0.13691902710344442,4.558016777038574,4.554096221923828,-0.003920555114746094,-0.08601449504302502
lora,16.0,16,lora / 16,98,lora_r16_seed98_1781725859,official_lora_r16_seed98_1781763077,0.8,0.8046153846153846,0.004615384615384577,0.5769230769230721,0.7992566077078388,0.8037156964428329,0.004459088734994121,0.5579045192735025,0.7992566077078387,0.8037156964428329,0.004459088734994232,0.5579045192735164,1190413,1190413,0,0.0,135598093,136198682,600589,0.4429184708371968,0.877898039465791,0.8740268132697495,-0.0038712261960415217,-0.4409653538350761,236.8076821999857,273.0863997999986,36.278717600012925,15.319907387706833,776.58935546875,779.568359375,2.97900390625,0.3836009192338042,4.558016777038574,4.554096221923828,-0.003920555114746094,-0.08601449504302502
lora,16.0,16,lora / 16,99,lora_r16_seed99_1781727419,official_lora_r16_seed99_1781764987,0.7965384615384615,0.8034615384615384,0.006923076923076921,0.8691453404152581,0.7962647102929382,0.8031918540942544,0.0069271438013162046,0.8699548921071453,0.7962647102929381,0.8031918540942545,0.006927143801316427,0.8699548921071734,1190413,1190413,0,0.0,135598093,136198682,600589,0.4429184708371968,0.877898039465791,0.8740268132697495,-0.0038712261960415217,-0.4409653538350761,295.7230349999154,225.5252513000014,-70.197783699914,-23.737678635664643,775.40185546875,778.505859375,3.10400390625,0.4003090635337146,4.558016777038574,4.554096221923828,-0.003920555114746094,-0.08601449504302502
lora,8.0,8,lora / 8,97,lora_r8_seed97_1781723738,official_lora_r8_seed97_1781761112,0.8007692307692308,0.7996153846153846,-0.001153846153846172,-0.1440922190201752,0.8000325401110167,0.7991414998603218,-0.0008910402506948634,-0.11137550112289409,0.8000325401110167,0.7991414998603217,-0.0008910402506949744,-0.11137550112290796,895501,895501,0,0.0,135303181,135903770,600589,0.4438838729150056,0.6618477063004158,0.6589228540164853,-0.002924852283930468,-0.4419222513106155,287.05161629989743,220.62026129999867,-66.43135499989876,-23.142651435376187,774.79931640625,775.865234375,1.06591796875,0.13757342658664762,3.433016777038574,3.429049491882324,-0.00396728515625,-0.11556264981822495
lora,8.0,8,lora / 8,98,lora_r8_seed98_1781725591,official_lora_r8_seed98_1781762789,0.796923076923077,0.7946153846153846,-0.002307692307692344,-0.2895752895752941,0.7959970368450461,0.7935328838128,-0.002464153032246119,-0.30956811623481045,0.7959970368450461,0.7935328838128,-0.002464153032246119,-0.30956811623481045,895501,895501,0,0.0,135303181,135903770,600589,0.4438838729150056,0.6618477063004158,0.6589228540164853,-0.002924852283930468,-0.4419222513106155,252.8467935000081,277.54849390000163,24.70170039999354,9.769433916112822,772.88623046875,1567.55908203125,794.6728515625,102.81886521390562,3.433016777038574,3.429049491882324,-0.00396728515625,-0.11556264981822495
